Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
M4.20.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C14/M4.20.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C14/M4.20.C14_R2.fastq.gz	110	17.2	Com14	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C15/M4.20.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C15/M4.20.C15_R2.fastq.gz	113	26.6	Com15	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C16/M4.20.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C16/M4.20.C16_R2.fastq.gz	117	21.8	Com16	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C17/M4.20.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C17/M4.20.C17_R2.fastq.gz	120	19.2	Com17	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C18/M4.20.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C18/M4.20.C18_R2.fastq.gz	123	21.4	Com18	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C19/M4.20.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C19/M4.20.C19_R2.fastq.gz	127	30	Com19	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C2/M4.20.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C2/M4.20.C2_R2.fastq.gz	8	20.4	Com2	M4	20	NA	pHSal	Two	Two	NA
M4.20.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C20/M4.20.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C20/M4.20.C20_R2.fastq.gz	130	25.8	Com20	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C21/M4.20.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C21/M4.20.C21_R2.fastq.gz	133	26.8	Com21	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C22/M4.20.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C22/M4.20.C22_R2.fastq.gz	137	28.6	Com22	M4	20	Non_evo	pHSal	Eight	Eight	Non_evo
M4.20.C3	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C3/M4.20.C3_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C3/M4.20.C3_R2.fastq.gz	12	25.4	Com3	M4	20	NA	pHSal	Two	Two	NA
M4.20.C4	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C4/M4.20.C4_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C4/M4.20.C4_R2.fastq.gz	17	14.4	Com4	M4	20	NA	pHSal	Two	Two	NA
M4.20.C5	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C5/M4.20.C5_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C5/M4.20.C5_R2.fastq.gz	21	11.7	Com5	M4	20	NA	pHSal	Two	Two	NA
M4.20.C6	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C6/M4.20.C6_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C6/M4.20.C6_R2.fastq.gz	25	16.4	Com6	M4	20	NA	pHSal	Two	Two	NA
M4.20.C7	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C7/M4.20.C7_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C7/M4.20.C7_R2.fastq.gz	30	24.8	Com7	M4	20	NA	pHSal	Four	Four	NA
M4.20.C8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C8/M4.20.C8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C8/M4.20.C8_R2.fastq.gz	34	24.8	Com8	M4	20	NA	pHSal	Four	Four	NA
M4.20.C9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C9/M4.20.C9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.C9/M4.20.C9_R2.fastq.gz	38	17.8	Com9	M4	20	NA	pHSal	Four	Four	NA
M4.20.E.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C13/M4.20.E.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C13/M4.20.E.C13_R2.fastq.gz	140	25.8	Com13	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C14/M4.20.E.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C14/M4.20.E.C14_R2.fastq.gz	143	22.8	Com14	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C15/M4.20.E.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C15/M4.20.E.C15_R2.fastq.gz	146	14.8	Com15	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C16/M4.20.E.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C16/M4.20.E.C16_R2.fastq.gz	149	32.6	Com16	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C17/M4.20.E.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C17/M4.20.E.C17_R2.fastq.gz	152	23.2	Com17	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C18/M4.20.E.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C18/M4.20.E.C18_R2.fastq.gz	155	24.2	Com18	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C19/M4.20.E.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C19/M4.20.E.C19_R2.fastq.gz	158	15.8	Com19	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C20/M4.20.E.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C20/M4.20.E.C20_R2.fastq.gz	161	32	Com20	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C21/M4.20.E.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C21/M4.20.E.C21_R2.fastq.gz	164	25.4	Com21	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C22/M4.20.E.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.C22/M4.20.E.C22_R2.fastq.gz	167	23.8	Com22	M4	20	Evo	pHSal	Eight	Eight	Evo
M4.20.E.I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.I20/M4.20.E.I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.20.E.I20/M4.20.E.I20_R2.fastq.gz	170	24	I20	M4	20	Evo	pHSal	One	One	Evo
M4.38.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C1/M4.38.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C1/M4.38.C1_R2.fastq.gz	56	3.12	Com1	M4	38	NA	pHSalTemp	Two	Two	NA
M4.38.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C11/M4.38.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C11/M4.38.C11_R2.fastq.gz	99	22.2	Com11	M4	38	NA	pHSalTemp	Four	Four	NA
M4.38.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C13/M4.38.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C13/M4.38.C13_R2.fastq.gz	174	32.2	Com13	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C14/M4.38.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C14/M4.38.C14_R2.fastq.gz	177	14.1	Com14	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C15/M4.38.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C15/M4.38.C15_R2.fastq.gz	180	33.4	Com15	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C16/M4.38.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C16/M4.38.C16_R2.fastq.gz	183	4.6	Com16	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C17/M4.38.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C17/M4.38.C17_R2.fastq.gz	186	29.6	Com17	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
M4.38.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C18/M4.38.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M4.38.C18/M4.38.C18_R2.fastq.gz	189	25.6	Com18	M4	38	Non_evo	pHSalTemp	Eight	Eight	Non_evo
