Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
D11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D11/D11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D11/D11_R2.fastq.gz	D11	50	D11	NA	NA	Non_evo	NA	One	One	Non_evo
D14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D14/D14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D14/D14_R2.fastq.gz	D14	19.4	D14	NA	NA	Non_evo	NA	One	One	Non_evo
D17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D17/D17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D17/D17_R2.fastq.gz	D17	9..22	D17	NA	NA	Non_evo	NA	One	One	Non_evo
I11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I11/I11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I11/I11_R2.fastq.gz	I11	30.4	I11	NA	NA	Non_evo	NA	One	One	Non_evo
I15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I15/I15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I15/I15_R2.fastq.gz	I15	37	I15	NA	NA	Non_evo	NA	One	One	Non_evo
I18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I18/I18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I18/I18_R2.fastq.gz	I18	11.2	I18	NA	NA	Non_evo	NA	One	One	Non_evo
I2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I2/I2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I2/I2_R2.fastq.gz	I2	28	I2	NA	NA	Non_evo	NA	One	One	Non_evo
I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I20/I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I20/I20_R2.fastq.gz	I20	19.1	I20	NA	NA	Non_evo	NA	One	One	Non_evo
I22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I22/I22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I22/I22_R2.fastq.gz	I22	14.9	I22	NA	NA	Non_evo	NA	One	One	Non_evo
I23	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I23/I23_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I23/I23_R2.fastq.gz	I23	27.8	I23	NA	NA	Non_evo	NA	One	One	Non_evo
I8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I8/I8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I8/I8_R2.fastq.gz	I8	17.8	I8	NA	NA	Non_evo	NA	One	One	Non_evo
I9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I9/I9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I9/I9_R2.fastq.gz	I9	19.7	I9	NA	NA	Non_evo	NA	One	One	Non_evo
M1.20.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C1/M1.20.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C1/M1.20.C1_R2.fastq.gz	1	40	Com1	M1	20	NA	Control	Two	Two	NA
M1.20.C10	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C10/M1.20.C10_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C10/M1.20.C10_R2.fastq.gz	40	39.8	Com10	M1	20	NA	Control	Four	Four	NA
M1.20.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C11/M1.20.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C11/M1.20.C11_R2.fastq.gz	44	28.6	Com11	M1	20	NA	Control	Four	Four	NA
M1.20.C12	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C12/M1.20.C12_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C12/M1.20.C12_R2.fastq.gz	48	35.6	Com12	M1	20	NA	Control	Four	Four	NA
M1.20.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C13/M1.20.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C13/M1.20.C13_R2.fastq.gz	105	15.9	Com13	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C14/M1.20.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C14/M1.20.C14_R2.fastq.gz	108	25.4	Com14	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C15/M1.20.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C15/M1.20.C15_R2.fastq.gz	111	22.6	Com15	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C16/M1.20.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C16/M1.20.C16_R2.fastq.gz	115	39.6	Com16	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C17/M1.20.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C17/M1.20.C17_R2.fastq.gz	118	31.8	Com17	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C18/M1.20.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C18/M1.20.C18_R2.fastq.gz	121	19	Com18	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C19/M1.20.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C19/M1.20.C19_R2.fastq.gz	125	35.6	Com19	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C2/M1.20.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C2/M1.20.C2_R2.fastq.gz	5	33.6	Com2	M1	20	NA	Control	Two	Two	NA
M1.20.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C20/M1.20.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C20/M1.20.C20_R2.fastq.gz	128	35.2	Com20	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C21/M1.20.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C21/M1.20.C21_R2.fastq.gz	131	37.8	Com21	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C22/M1.20.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C22/M1.20.C22_R2.fastq.gz	135	38.8	Com22	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C3	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C3/M1.20.C3_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C3/M1.20.C3_R2.fastq.gz	9	8.56	Com3	M1	20	NA	Control	Two	Two	NA
M1.20.C4	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C4/M1.20.C4_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C4/M1.20.C4_R2.fastq.gz	14	57	Com4	M1	20	NA	Control	Two	Two	NA
M1.20.C5	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C5/M1.20.C5_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C5/M1.20.C5_R2.fastq.gz	18	44	Com5	M1	20	NA	Control	Two	Two	NA
M1.20.C6	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C6/M1.20.C6_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C6/M1.20.C6_R2.fastq.gz	22	40.4	Com6	M1	20	NA	Control	Two	Two	NA
M1.20.C7	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C7/M1.20.C7_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C7/M1.20.C7_R2.fastq.gz	27	22.4	Com7	M1	20	NA	Control	Four	Four	NA
M1.20.C8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C8/M1.20.C8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C8/M1.20.C8_R2.fastq.gz	31	23.8	Com8	M1	20	NA	Control	Four	Four	NA
M1.20.C9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C9/M1.20.C9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C9/M1.20.C9_R2.fastq.gz	35	27	Com9	M1	20	NA	Control	Four	Four	NA
M1.20.E.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C13/M1.20.E.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C13/M1.20.E.C13_R2.fastq.gz	138	22	Com13	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C14/M1.20.E.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C14/M1.20.E.C14_R2.fastq.gz	141	41.8	Com14	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C15/M1.20.E.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C15/M1.20.E.C15_R2.fastq.gz	144	29	Com15	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C16/M1.20.E.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C16/M1.20.E.C16_R2.fastq.gz	147	47.4	Com16	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C17/M1.20.E.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C17/M1.20.E.C17_R2.fastq.gz	150	44.6	Com17	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C18/M1.20.E.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C18/M1.20.E.C18_R2.fastq.gz	153	26.8	Com18	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C19/M1.20.E.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C19/M1.20.E.C19_R2.fastq.gz	156	47.4	Com19	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C20/M1.20.E.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C20/M1.20.E.C20_R2.fastq.gz	159	26.8	Com20	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C21/M1.20.E.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C21/M1.20.E.C21_R2.fastq.gz	162	58.4	Com21	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C22/M1.20.E.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.C22/M1.20.E.C22_R2.fastq.gz	165	60	Com22	M1	20	Evo	Control	Eight	Eight	Evo
M1.20.E.I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.I20/M1.20.E.I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.E.I20/M1.20.E.I20_R2.fastq.gz	168	30.8	I20	M1	20	Evo	Control	One	One	Evo
M1.38.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C1/M1.38.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C1/M1.38.C1_R2.fastq.gz	53	2.12	Com1	M1	38	NA	Temp	Two	Two	NA
M1.38.C10	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C10/M1.38.C10_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C10/M1.38.C10_R2.fastq.gz	92	0.826	Com10	M1	38	NA	Temp	Four	Four	NA
M1.38.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C11/M1.38.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C11/M1.38.C11_R2.fastq.gz	96	30.4	Com11	M1	38	NA	Temp	Four	Four	NA
M1.38.C12	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C12/M1.38.C12_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C12/M1.38.C12_R2.fastq.gz	100	0.12	Com12	M1	38	NA	Temp	Four	Four	NA
M1.38.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C13/M1.38.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C13/M1.38.C13_R2.fastq.gz	172	26.8	Com13	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C14/M1.38.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C14/M1.38.C14_R2.fastq.gz	175	20.6	Com14	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C15/M1.38.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C15/M1.38.C15_R2.fastq.gz	178	17.3	Com15	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C16/M1.38.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C16/M1.38.C16_R2.fastq.gz	181	15.6	Com16	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C17/M1.38.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C17/M1.38.C17_R2.fastq.gz	184	29	Com17	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C18/M1.38.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C18/M1.38.C18_R2.fastq.gz	187	22.6	Com18	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C19/M1.38.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C19/M1.38.C19_R2.fastq.gz	190	21.8	Com19	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C2/M1.38.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C2/M1.38.C2_R2.fastq.gz	57	22.2	Com2	M1	38	NA	Temp	Two	Two	NA
M1.38.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C20/M1.38.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C20/M1.38.C20_R2.fastq.gz	193	26.2	Com20	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C21/M1.38.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C21/M1.38.C21_R2.fastq.gz	205	2.7	Com21	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C22/M1.38.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C22/M1.38.C22_R2.fastq.gz	208	3.46	Com22	M1	38	Non_evo	Temp	Eight	Eight	Non_evo
M1.38.C3	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C3/M1.38.C3_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C3/M1.38.C3_R2.fastq.gz	61	<0.5	Com3	M1	38	NA	Temp	Two	Two	NA
M1.38.C4	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C4/M1.38.C4_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C4/M1.38.C4_R2.fastq.gz	66	0.962	Com4	M1	38	NA	Temp	Two	Two	NA
M1.38.C5	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C5/M1.38.C5_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C5/M1.38.C5_R2.fastq.gz	70	9.78	Com5	M1	38	NA	Temp	Two	Two	NA
M1.38.C6	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C6/M1.38.C6_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C6/M1.38.C6_R2.fastq.gz	74	0.496	Com6	M1	38	NA	Temp	Two	Two	NA
M1.38.C7	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C7/M1.38.C7_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C7/M1.38.C7_R2.fastq.gz	79	18.1	Com7	M1	38	NA	Temp	Four	Four	NA
M1.38.C8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C8/M1.38.C8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C8/M1.38.C8_R2.fastq.gz	83	12.4	Com8	M1	38	NA	Temp	Four	Four	NA
M1.38.C9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C9/M1.38.C9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.C9/M1.38.C9_R2.fastq.gz	87	11.6	Com9	M1	38	NA	Temp	Four	Four	NA
M1.38.E.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C13/M1.38.E.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C13/M1.38.E.C13_R2.fastq.gz	211	17	Com13	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C14/M1.38.E.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C14/M1.38.E.C14_R2.fastq.gz	214	20.4	Com14	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C15/M1.38.E.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C15/M1.38.E.C15_R2.fastq.gz	217	42.6	Com15	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C16/M1.38.E.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C16/M1.38.E.C16_R2.fastq.gz	220	33.4	Com16	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C17/M1.38.E.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C17/M1.38.E.C17_R2.fastq.gz	223	20.8	Com17	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C18/M1.38.E.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C18/M1.38.E.C18_R2.fastq.gz	226	23.2	Com18	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C20/M1.38.E.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C20/M1.38.E.C20_R2.fastq.gz	232	23.8	Com20	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C21	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C21/M1.38.E.C21_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C21/M1.38.E.C21_R2.fastq.gz	235	24.6	Com21	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.C22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C22/M1.38.E.C22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.C22/M1.38.E.C22_R2.fastq.gz	238	21.2	Com22	M1	38	Evo	Temp	Eight	Eight	Evo
M1.38.E.I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.I20/M1.38.E.I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.38.E.I20/M1.38.E.I20_R2.fastq.gz	241	44.6	I20	M1	38	Evo	Temp	One	One	Evo
M1.Blank	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.Blank/M1.Blank_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.Blank/M1.Blank_R2.fastq.gz	13	<0.5	Blank	M1	20	NA	Control	NA	NA	NA
M2.20.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C1/M2.20.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C1/M2.20.C1_R2.fastq.gz	2	31	Com1	M2	20	NA	pH	Two	Two	NA
M2.20.C10	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C10/M2.20.C10_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C10/M2.20.C10_R2.fastq.gz	41	46.2	Com10	M2	20	NA	pH	Four	Four	NA
M2.20.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C11/M2.20.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C11/M2.20.C11_R2.fastq.gz	45	28.4	Com11	M2	20	NA	pH	Four	Four	NA
M2.20.C12	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C12/M2.20.C12_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C12/M2.20.C12_R2.fastq.gz	49	36	Com12	M2	20	NA	pH	Four	Four	NA
M2.20.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C13/M2.20.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C13/M2.20.C13_R2.fastq.gz	287	24.4	Com13	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C14/M2.20.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C14/M2.20.C14_R2.fastq.gz	289	28.8	Com14	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C15/M2.20.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C15/M2.20.C15_R2.fastq.gz	291	30.2	Com15	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C16/M2.20.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C16/M2.20.C16_R2.fastq.gz	293	24.2	Com16	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C17/M2.20.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C17/M2.20.C17_R2.fastq.gz	296	26.6	Com17	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C18/M2.20.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C18/M2.20.C18_R2.fastq.gz	298	19.8	Com18	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C19/M2.20.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C19/M2.20.C19_R2.fastq.gz	300	22.4	Com19	M2	20	Non_evo	pH	Eight	Eight	Non_evo
M2.20.C2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C2/M2.20.C2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C2/M2.20.C2_R2.fastq.gz	6	26.4	Com2	M2	20	NA	pH	Two	Two	NA
M2.20.C20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C20/M2.20.C20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M2.20.C20/M2.20.C20_R2.fastq.gz	302	21.6	Com20	M2	20	Non_evo	pH	Eight	Eight	Non_evo
